time	windspeed	temp	latent_heat	sensible_heat	pressure
00:00	3.03	21.45	8.91	-10.53	862.79
00:30	2.17	21.81	5.22	-4.84	863.05
01:00	2.01	22.59	0.41	-1.92	863.73
01:30	1.11	22.21	-0.79	-0.63	863.22
02:00	1.45	22.4	-0.19	-0.46	863.14
02:30	2.62	21.9	-0.01	-0.91	863.31
03:00	3.84	22.32	-1.07	0.33	863.31
03:30	3.51	21.69	-3.11	-1.06	862.96
04:00	2.72	20.59	-0.11	-1.2	862.88
04:30	3.44	21.25	-0.13	-7.53	863.31
05:00	4.46	20.81	-0.05	-5.64	863.14
05:30	4.38	20.17	-0.31	-8.01	863.66
06:00	5.15	20.27	-0.57	-10.91	863.98
06:30	3.62	20.27	2.55	-9.86	864.41
07:00	3.19	20.61	0.82	-2.17	864.76
07:30	2.88	20.49	13.1	-8.66	865.36
08:00	2.67	20.75	29.7	2.74	865.45
08:30	3.72	21.53	44.01	1.28	865.86
09:00	3.94	22.54	25.21	5.93	865.68
09:30	4.61	23.27	56.17	26.55	865.86
10:00	3.32	24.25	76.79	42.9	865.55
10:30	2.77	25.22	78.76	52.39	865.94
11:00	2.24	26.16	98.27	78.33	865.77
11:30	1.65	27.43	123.27	117.77	865.28
12:00	1.3	28.45	98.46	131.42	864.93
12:30	1.08	29.09	49.82	70.45	865.1
13:00	1.48	29.57	87.58	136.16	864.15
13:30	2.4	29.85	121.04	152.33	864.24
14:00	3.84	30.25	77.82	143.74	864.04
14:30	4.18	30.6	103.43	129.37	863.98
15:00	4.61	30.63	87.93	114.43	863.57
15:30	4.44	30.71	78.03	101.78	863.31
16:00	4.45	30.77	96.48	120.14	863.31
16:30	4.78	30.8	79.49	98.84	863.05
17:00	5.01	30.75	86.25	70.41	862.79
17:30	4.68	30.77	74.36	64.87	862.88
18:00	5.15	30.61	56.14	33.86	863.14
18:30	4.47	30.45	40.83	12.58	862.79
19:00	4.15	30.21	24.01	-0.39	863.05
19:30	3.39	29.88	10.8	-3.91	863.14
20:00	3.04	29.54	4.05	-3.5	863.31
20:30	2.74	29.03	0.63	-1.03	863.22
21:00	2.24	28.31	1.6	-1.05	863.72
21:30	1.19	27.68	-5.4	-2.62	863.14
22:00	0.94	26.65	-2.36	1.3	863.89
22:30	1.17	26.01	-1.17	-0.32	863.8
23:00	1.44	25.34	-0.1	0.24	864.06
23:30	1.68	25.29	-0.51	0.37	863.4
